cycle,branch,model,modeldate,candidate_inc,candidate_chal,candidate_3rd,state,step_no,value_inc,value_chal,value_3rd,weight,step_description,timestamp,simulations
2020,President,polls-plus,10/30/2020,Trump,Biden,"",South Carolina,8,57.47728,41.67591,,.0272714,Blend with economic fundamentals,17:26:03 30 Oct 2020,40000
2020,President,polls-plus,10/30/2020,Trump,Biden,"",South Carolina,7,53.60431,45.54889,,,Snapshot,17:26:03 30 Oct 2020,40000
2020,President,polls-plus,10/30/2020,Trump,Biden,"",South Carolina,6,53.95205,45.20114,,.2782825,Blend with regression,17:26:03 30 Oct 2020,40000
2020,President,polls-plus,10/30/2020,Trump,Biden,"",South Carolina,5,53.47022,45.68297,,,Reallocated vote share,17:26:03 30 Oct 2020,40000
2020,President,polls-plus,10/30/2020,Trump,Biden,"",South Carolina,4,2.081078,2.081078,,,Reallocate undecideds and third-party votes,17:26:03 30 Oct 2020,40000
2020,President,polls-plus,10/30/2020,Trump,Biden,"",South Carolina,3,51.38914,43.60189,,,Adjusted polling average,17:26:03 30 Oct 2020,40000
2020,President,polls-plus,10/30/2020,Trump,Biden,"",South Carolina,2,-.0066261,-.0003586,,,Adjust for bounces & recent events,17:26:03 30 Oct 2020,40000
2020,President,polls-plus,10/30/2020,Trump,Biden,"",South Carolina,1,51.39577,43.60225,,,Polling average,17:26:03 30 Oct 2020,40000
2020,President,polls-plus,10/30/2020,Trump,Biden,"",South Carolina,10,.9152,.0848,,,Chance of winning,17:26:03 30 Oct 2020,40000
2020,President,polls-plus,10/30/2020,Trump,Biden,"",Rhode Island,9,35.28167,63.44505,,,Projected vote share,17:26:03 30 Oct 2020,40000
2020,President,polls-plus,10/30/2020,Trump,Biden,"",Rhode Island,8,38.86007,59.86666,,.0272714,Blend with economic fundamentals,17:26:03 30 Oct 2020,40000
2020,President,polls-plus,10/30/2020,Trump,Biden,"",Rhode Island,7,35.15315,63.57357,,,Snapshot,17:26:03 30 Oct 2020,40000
2020,President,polls-plus,10/30/2020,Trump,Biden,"",Rhode Island,6,36.40978,62.31694,,.6440401,Blend with regression,17:26:03 30 Oct 2020,40000
2020,President,polls-plus,10/30/2020,Trump,Biden,"",Rhode Island,5,32.87953,65.84719,,,Reallocated vote share,17:26:03 30 Oct 2020,40000
2020,President,polls-plus,10/30/2020,Trump,Biden,"",Rhode Island,4,1.169939,1.16993,,,Reallocate undecideds and third-party votes,17:26:03 30 Oct 2020,40000
2020,President,polls-plus,10/30/2020,Trump,Biden,"",Rhode Island,3,31.70959,64.67726,,,Adjusted polling average,17:26:03 30 Oct 2020,40000
2020,President,polls-plus,10/30/2020,Trump,Biden,"",Rhode Island,2,.0017147,-.0057831,,,Adjust for bounces & recent events,17:26:03 30 Oct 2020,40000
2020,President,polls-plus,10/30/2020,Trump,Biden,"",Rhode Island,1,31.70788,64.68304,,,Polling average,17:26:03 30 Oct 2020,40000
2020,President,polls-plus,10/30/2020,Trump,Biden,"",Rhode Island,10,.00065,.99935,,,Chance of winning,17:26:03 30 Oct 2020,40000
2020,President,polls-plus,10/30/2020,Trump,Biden,"",Pennsylvania,9,47.10521,52.20009,,,Projected vote share,17:26:03 30 Oct 2020,40000
2020,President,polls-plus,10/30/2020,Trump,Biden,"",Pennsylvania,8,50.92174,48.38356,,.0272714,Blend with economic fundamentals,17:26:03 30 Oct 2020,40000
2020,President,polls-plus,10/30/2020,Trump,Biden,"",Pennsylvania,7,46.99867,52.30663,,,Snapshot,17:26:03 30 Oct 2020,40000
2020,President,polls-plus,10/30/2020,Trump,Biden,"",Pennsylvania,6,45.74023,53.56506,,.0522555,Blend with regression,17:26:03 30 Oct 2020,40000
2020,President,polls-plus,10/30/2020,Trump,Biden,"",Pennsylvania,5,47.06806,52.23724,,,Reallocated vote share,17:26:03 30 Oct 2020,40000
2020,President,polls-plus,10/30/2020,Trump,Biden,"",Pennsylvania,4,2.04792,2.04792,,,Reallocate undecideds and third-party votes,17:26:03 30 Oct 2020,40000
2020,President,polls-plus,10/30/2020,Trump,Biden,"",Pennsylvania,3,45.02014,50.18932,,,Adjusted polling average,17:26:03 30 Oct 2020,40000
2020,President,polls-plus,10/30/2020,Trump,Biden,"",Pennsylvania,2,-.0059547,.003109,,,Adjust for bounces & recent events,17:26:03 30 Oct 2020,40000
2020,President,polls-plus,10/30/2020,Trump,Biden,"",Pennsylvania,1,45.02609,50.18621,,,Polling average,17:26:03 30 Oct 2020,40000
2020,President,polls-plus,10/30/2020,Trump,Biden,"",Pennsylvania,10,.14305,.85695,,,Chance of winning,17:26:03 30 Oct 2020,40000
2020,President,polls-plus,10/30/2020,Trump,Biden,"",Oregon,9,39.7499,58.19739,,,Projected vote share,17:26:03 30 Oct 2020,40000
2020,President,polls-plus,10/30/2020,Trump,Biden,"",Oregon,8,43.43731,54.50997,,.0272714,Blend with economic fundamentals,17:26:03 30 Oct 2020,40000
2020,President,polls-plus,10/30/2020,Trump,Biden,"",Oregon,7,39.63771,58.30958,,,Snapshot,17:26:03 30 Oct 2020,40000
2020,President,polls-plus,10/30/2020,Trump,Biden,"",Oregon,6,40.75562,57.19167,,.3686882,Blend with regression,17:26:03 30 Oct 2020,40000
2020,President,polls-plus,10/30/2020,Trump,Biden,"",Oregon,5,38.98484,58.96244,,,Reallocated vote share,17:26:03 30 Oct 2020,40000
2020,President,polls-plus,10/30/2020,Trump,Biden,"",Oregon,4,1.116512,1.116508,,,Reallocate undecideds and third-party votes,17:26:03 30 Oct 2020,40000
2020,President,polls-plus,10/30/2020,Trump,Biden,"",Oregon,3,37.86833,57.84594,,,Adjusted polling average,17:26:03 30 Oct 2020,40000
2020,President,polls-plus,10/30/2020,Trump,Biden,"",Oregon,2,-.0035629,-.0063782,,,Adjust for bounces & recent events,17:26:03 30 Oct 2020,40000
2020,President,polls-plus,10/30/2020,Trump,Biden,"",Oregon,1,37.87189,57.85231,,,Polling average,17:26:03 30 Oct 2020,40000
2020,President,polls-plus,10/30/2020,Trump,Biden,"",Oregon,10,.021825,.978175,,,Chance of winning,17:26:03 30 Oct 2020,40000
2020,President,polls-plus,10/30/2020,Trump,Biden,"",Oklahoma,9,61.68811,37.20027,,,Projected vote share,17:26:03 30 Oct 2020,40000
2020,President,polls-plus,10/30/2020,Trump,Biden,"",Oklahoma,8,65.25061,33.63777,,.0272714,Blend with economic fundamentals,17:26:03 30 Oct 2020,40000
2020,President,polls-plus,10/30/2020,Trump,Biden,"",Oklahoma,7,61.59166,37.29672,,,Snapshot,17:26:03 30 Oct 2020,40000
2020,President,polls-plus,10/30/2020,Trump,Biden,"",Oklahoma,6,64.39135,34.49703,,.3210635,Blend with regression,17:26:03 30 Oct 2020,40000
2020,President,polls-plus,10/30/2020,Trump,Biden,"",Oklahoma,5,60.26772,38.62067,,,Reallocated vote share,17:26:03 30 Oct 2020,40000
2020,President,polls-plus,10/30/2020,Trump,Biden,"",Oklahoma,4,1.994446,1.99445,,,Reallocate undecideds and third-party votes,17:26:03 30 Oct 2020,40000
2020,President,polls-plus,10/30/2020,Trump,Biden,"",Oklahoma,3,58.27327,36.62622,,,Adjusted polling average,17:26:03 30 Oct 2020,40000
2020,President,polls-plus,10/30/2020,Trump,Biden,"",Oklahoma,2,-.0633087,.0224686,,,Adjust for bounces & recent events,17:26:03 30 Oct 2020,40000
2020,President,polls-plus,10/30/2020,Trump,Biden,"",Oklahoma,1,58.33658,36.60375,,,Polling average,17:26:03 30 Oct 2020,40000
2020,President,polls-plus,10/30/2020,Trump,Biden,"",Oklahoma,10,.993125,.006875,,,Chance of winning,17:26:03 30 Oct 2020,40000
2020,President,polls-plus,10/30/2020,Trump,Biden,"",Ohio,9,49.80103,49.17733,,,Projected vote share,17:26:03 30 Oct 2020,40000
2020,President,polls-plus,10/30/2020,Trump,Biden,"",Ohio,8,53.59398,45.38438,,.0272714,Blend with economic fundamentals,17:26:03 30 Oct 2020,40000
2020,President,polls-plus,10/30/2020,Trump,Biden,"",Ohio,7,49.68904,49.28932,,,Snapshot,17:26:03 30 Oct 2020,40000
2020,President,polls-plus,10/30/2020,Trump,Biden,"",Ohio,6,48.47323,50.50513,,.1825042,Blend with regression,17:26:03 30 Oct 2020,40000
2020,President,polls-plus,10/30/2020,Trump,Biden,"",Ohio,5,49.96047,49.01789,,,Reallocated vote share,17:26:03 30 Oct 2020,40000
2020,President,polls-plus,10/30/2020,Trump,Biden,"",Ohio,4,2.707836,2.707832,,,Reallocate undecideds and third-party votes,17:26:03 30 Oct 2020,40000
2020,President,polls-plus,10/30/2020,Trump,Biden,"",Ohio,3,47.25264,46.31006,,,Adjusted polling average,17:26:03 30 Oct 2020,40000
2020,President,polls-plus,10/30/2020,Trump,Biden,"",Ohio,2,.002449,.0023575,,,Adjust for bounces & recent events,17:26:03 30 Oct 2020,40000
2020,President,polls-plus,10/30/2020,Trump,Biden,"",Ohio,1,47.25019,46.3077,,,Polling average,17:26:03 30 Oct 2020,40000
2020,President,polls-plus,10/30/2020,Trump,Biden,"",Ohio,10,.547475,.452525,,,Chance of winning,17:26:03 30 Oct 2020,40000
2020,President,polls-plus,10/30/2020,Trump,Biden,"",North Dakota,9,59.49534,38.03567,,,Projected vote share,17:26:03 30 Oct 2020,40000
2020,President,polls-plus,10/30/2020,Trump,Biden,"",North Dakota,8,63.03479,34.49622,,.0272714,Blend with economic fundamentals,17:26:03 30 Oct 2020,40000
2020,President,polls-plus,10/30/2020,Trump,Biden,"",North Dakota,7,59.38028,38.15073,,,Snapshot,17:26:03 30 Oct 2020,40000
2020,President,polls-plus,10/30/2020,Trump,Biden,"",North Dakota,6,62.56588,34.96513,,.4112774,Blend with regression,17:26:03 30 Oct 2020,40000
2020,President,polls-plus,10/30/2020,Trump,Biden,"",North Dakota,5,57.15485,40.37616,,,Reallocated vote share,17:26:03 30 Oct 2020,40000
2020,President,polls-plus,10/30/2020,Trump,Biden,"",North Dakota,4,1.333725,1.333725,,,Reallocate undecideds and third-party votes,17:26:03 30 Oct 2020,40000
2020,President,polls-plus,10/30/2020,Trump,Biden,"",North Dakota,3,55.82112,39.04243,,,Adjusted polling average,17:26:03 30 Oct 2020,40000
2020,President,polls-plus,10/30/2020,Trump,Biden,"",North Dakota,2,.0083885,-.0142899,,,Adjust for bounces & recent events,17:26:03 30 Oct 2020,40000
2020,President,polls-plus,10/30/2020,Trump,Biden,"",North Dakota,1,55.81273,39.05672,,,Polling average,17:26:03 30 Oct 2020,40000
2020,President,polls-plus,10/30/2020,Trump,Biden,"",North Dakota,10,.97955,.02045,,,Chance of winning,17:26:03 30 Oct 2020,40000
2020,President,polls-plus,10/30/2020,Trump,Biden,"",North Carolina,9,48.62017,50.65373,,,Projected vote share,17:26:03 30 Oct 2020,40000
2020,President,polls-plus,10/30/2020,Trump,Biden,"",North Carolina,8,52.43797,46.83593,,.0272714,Blend with economic fundamentals,17:26:03 30 Oct 2020,40000
2020,President,polls-plus,10/30/2020,Trump,Biden,"",North Carolina,7,48.51643,50.75747,,,Snapshot,17:26:03 30 Oct 2020,40000
2020,President,polls-plus,10/30/2020,Trump,Biden,"",North Carolina,6,48.68333,50.59057,,.033537,Blend with regression,17:26:03 30 Oct 2020,40000
2020,President,polls-plus,10/30/2020,Trump,Biden,"",North Carolina,5,48.51064,50.76326,,,Reallocated vote share,17:26:03 30 Oct 2020,40000
2020,President,polls-plus,10/30/2020,Trump,Biden,"",North Carolina,4,1.663151,1.663155,,,Reallocate undecideds and third-party votes,17:26:03 30 Oct 2020,40000
2020,President,polls-plus,10/30/2020,Trump,Biden,"",North Carolina,3,46.84748,49.10011,,,Adjusted polling average,17:26:03 30 Oct 2020,40000
2020,President,polls-plus,10/30/2020,Trump,Biden,"",North Carolina,2,-.0050392,.0012283,,,Adjust for bounces & recent events,17:26:03 30 Oct 2020,40000
2020,President,polls-plus,10/30/2020,Trump,Biden,"",North Carolina,1,46.85252,49.09888,,,Polling average,17:26:03 30 Oct 2020,40000
2020,President,polls-plus,10/30/2020,Trump,Biden,"",North Carolina,10,.34595,.65405,,,Chance of winning,17:26:03 30 Oct 2020,40000
2020,President,polls-plus,10/30/2020,Trump,Biden,"",New York,9,34.55518,64.44225,,,Projected vote share,17:26:03 30 Oct 2020,40000
2020,President,polls-plus,10/30/2020,Trump,Biden,"",New York,8,38.14872,60.84871,,.0272714,Blend with economic fundamentals,17:26:03 30 Oct 2020,40000
2020,President,polls-plus,10/30/2020,Trump,Biden,"",New York,7,34.45797,64.53945,,,Snapshot,17:26:03 30 Oct 2020,40000
